record_version,record_number,record_timestamp,aux_timestamp,mag_uT_x,mag_uT_y,mag_uT_z,aux_flags
2,0,1757714085060,1757714085227,-581,9751,-2355,7
2,2,1757714085393,1757714085555,-605,9757,-2363,31
2,2,1757714085393,1757714085555,-605,9757,-2363,31
2,3,1757714085560,1757714085684,-612,9703,-2423,31
2,4,1757714085726,1757714085833,-591,9779,-2301,31
2,5,1757714085893,1757714086042,-608,9745,-2360,31
2,6,1757714086060,1757714086242,-595,9748,-2345,31
2,7,1757714086226,1757714086392,-591,9753,-2316,31
2,8,1757714086393,1757714086392,-591,9753,-2316,31
2,9,1757714086560,1757714086392,-591,9753,-2316,31
2,10,1757714086726,1757714086874,-591,9753,-2316,31
2,11,1757714086893,1757714087082,-627,9758,-2285,31
2,12,1757714087060,1757714087231,-587,9765,-2310,31
2,13,1757714087226,1757714087431,-590,9742,-2403,31
2,14,1757714087393,1757714087431,-590,9742,-2403,31
2,15,1757714087560,1757714087431,-590,9742,-2403,31
2,16,1757714087726,1757714087890,-590,9742,-2403,31
2,17,1757714087893,1757714088100,-598,9736,-2386,31
2,18,1757714088060,1757714088249,-593,9748,-2367,31
2,19,1757714088226,1757714088456,-583,9753,-2334,31
2,20,1757714088393,1757714088456,-583,9753,-2334,31
2,22,1757714088726,1757714088908,-583,9753,-2334,31
2,22,1757714088726,1757714088908,-583,9753,-2334,31
2,23,1757714088893,1757714089116,-606,9741,-2346,31
2,24,1757714089060,1757714089264,-578,9755,-2369,31
2,25,1757714089226,1757714089414,-615,9759,-2369,31
2,26,1757714089393,1757714089414,-615,9759,-2369,31
2,27,1757714089560,1757714089414,-615,9759,-2369,31
2,28,1757714089726,1757714089926,-615,9759,-2369,31
2,29,1757714089893,1757714090137,-597,9744,-2355,31
2,30,1757714090060,1757714090285,-596,9736,-2347,31
2,31,1757714090226,1757714090435,-597,9729,-2287,31
2,32,1757714090393,1757714090543,-573,9748,-2343,31
2,33,1757714090560,1757714090543,-573,9748,-2343,31
2,34,1757714090726,1757714090942,-573,9748,-2343,31
2,35,1757714090893,1757714091141,-594,9713,-2332,31
2,36,1757714091060,1757714091290,-596,9705,-2319,31
2,37,1757714091226,1757714091447,-571,9690,-2339,31
2,38,1757714091393,1757714091495,-583,9691,-2347,31
2,39,1757714091560,1757714091495,-583,9691,-2347,31
2,40,1757714091726,1757714091958,-583,9691,-2347,31
2,41,1757714091893,1757714092057,-594,9721,-2348,31
2,42,1757714092060,1757714092315,-576,9724,-2342,31
2,43,1757714092226,1757714092463,-582,9726,-2333,31
2,44,1757714092393,1757714092512,-583,9696,-2280,31
2,45,1757714092560,1757714092512,-583,9696,-2280,31
2,46,1757714092726,1757714092975,-583,9696,-2280,31
2,47,1757714092893,1757714093082,-596,9699,-2326,31
2,48,1757714093060,1757714093331,-605,9709,-2316,31
2,49,1757714093226,1757714093480,-587,9728,-2371,31
2,50,1757714093393,1757714093528,-592,9707,-2323,31
2,51,1757714093560,1757714093528,-592,9707,-2323,31
2,52,1757714093726,1757714093991,-592,9707,-2323,31
2,53,1757714093893,1757714094097,-603,9711,-2314,31
2,54,1757714094060,1757714094348,-592,9695,-2317,31
2,55,1757714094226,1757714094504,-601,9700,-2311,31
2,56,1757714094393,1757714094654,-586,9744,-2378,31
2,57,1757714094560,1757714094654,-586,9744,-2378,31
2,59,1757714094893,1757714095107,-583,9732,-2353,31
2,59,1757714094893,1757714095107,-583,9732,-2353,31
2,60,1757714095060,1757714095366,-585,9733,-2309,31
2,61,1757714095226,1757714095514,-585,9723,-2372,31
2,62,1757714095393,1757714095664,-584,9742,-2345,31
2,63,1757714095560,1757714095664,-584,9742,-2345,31
2,64,1757714095726,1757714096025,-584,9742,-2345,31
2,65,1757714095893,1757714096133,-603,9723,-2358,31
2,66,1757714096060,1757714096281,-609,9736,-2362,31
2,67,1757714096226,1757714096529,-622,9704,-2412,31
2,68,1757714096393,1757714096578,-611,9730,-2394,31
2,69,1757714096560,1757714096578,-611,9730,-2394,31
2,70,1757714096726,1757714097045,-611,9730,-2394,31
2,71,1757714096893,1757714097204,-608,9728,-2340,31
2,72,1757714097060,1757714097354,-580,9710,-2347,31
2,73,1757714097226,1757714097504,-629,9714,-2399,31
2,74,1757714097393,1757714097713,-602,9726,-2350,31
2,75,1757714097560,1757714097713,-602,9726,-2350,31
2,76,1757714097726,1757714098061,-602,9726,-2350,31
