record_version,record_number,record_timestamp,sample_index,ax,ay,az,gx,gy,gz,aux_flags
2,0,1757714085060,0,971,-131,197,-280,490,-140,7
2,0,1757714085060,1,971,-131,197,-210,490,-140,7
2,0,1757714085060,2,971,-131,197,-210,490,-210,7
2,0,1757714085060,3,971,-131,197,-280,490,-140,7
2,0,1757714085060,4,971,-131,197,-280,490,-140,7
2,0,1757714085060,5,971,-131,197,-280,490,-70,7
2,0,1757714085060,6,971,-131,197,-210,560,-210,7
2,0,1757714085060,7,971,-131,197,-280,490,-140,7
2,0,1757714085060,8,971,-131,197,-280,490,-140,7
2,0,1757714085060,9,971,-131,197,-210,490,-210,7
2,2,1757714085393,0,971,-131,197,-280,420,-70,31
2,2,1757714085393,1,971,-131,197,-280,420,-70,31
2,2,1757714085393,2,971,-131,197,-280,420,-70,31
2,2,1757714085393,3,971,-131,197,-280,420,-70,31
2,2,1757714085393,4,971,-131,197,-280,420,-70,31
2,2,1757714085393,5,971,-131,197,-280,420,-70,31
2,2,1757714085393,6,971,-131,197,-210,560,-210,31
2,2,1757714085393,7,971,-131,197,-210,490,-210,31
2,2,1757714085393,8,971,-131,197,-280,490,-70,31
2,2,1757714085393,9,971,-131,197,-210,560,-280,31
2,2,1757714085393,0,971,-131,197,-280,420,-70,31
2,2,1757714085393,1,971,-131,197,-280,420,-70,31
2,2,1757714085393,2,971,-131,197,-280,420,-70,31
2,2,1757714085393,3,971,-131,197,-280,420,-70,31
2,2,1757714085393,4,971,-131,197,-280,420,-70,31
2,2,1757714085393,5,971,-131,197,-280,420,-70,31
2,2,1757714085393,6,971,-131,197,-210,560,-210,31
2,2,1757714085393,7,971,-131,197,-210,490,-210,31
2,2,1757714085393,8,971,-131,197,-280,490,-70,31
2,2,1757714085393,9,971,-131,197,-210,560,-280,31
2,3,1757714085560,0,971,-131,197,-280,420,-70,31
2,3,1757714085560,1,971,-131,197,-280,490,-140,31
2,3,1757714085560,2,971,-131,197,-210,560,-210,31
2,3,1757714085560,3,971,-131,197,-280,490,-140,31
2,3,1757714085560,4,971,-131,197,-280,490,-140,31
2,3,1757714085560,5,971,-131,197,-280,490,-140,31
2,3,1757714085560,6,971,-131,197,-280,490,-140,31
2,3,1757714085560,7,971,-131,197,-280,490,-140,31
2,3,1757714085560,8,971,-131,197,-210,560,-210,31
2,3,1757714085560,9,971,-131,197,-280,420,-140,31
2,4,1757714085726,0,971,-131,197,-280,560,-210,31
2,4,1757714085726,1,971,-131,197,-210,490,-210,31
2,4,1757714085726,2,971,-131,197,-280,420,-70,31
2,4,1757714085726,3,971,-131,197,-210,560,-280,31
2,4,1757714085726,4,971,-131,197,-280,350,-70,31
2,4,1757714085726,5,971,-131,197,-210,630,-280,31
2,4,1757714085726,6,971,-131,197,-280,420,-70,31
2,4,1757714085726,7,971,-131,197,-210,560,-210,31
2,4,1757714085726,8,971,-131,197,-210,490,-210,31
2,4,1757714085726,9,971,-131,197,-350,420,-70,31
2,5,1757714085893,0,971,-131,197,-280,420,-70,31
2,5,1757714085893,1,971,-131,197,-210,560,-210,31
2,5,1757714085893,2,971,-131,197,-210,490,-140,31
2,5,1757714085893,3,971,-131,197,-280,420,-140,31
