record_version,record_number,record_timestamp,aux_timestamp,mag_uT_x,mag_uT_y,mag_uT_z,aux_flags
2,98,1757714282442,1757714282757,-639,9733,-2429,31
2,99,1757714282609,1757714282757,-639,9733,-2429,31
2,100,1757714282775,1757714283120,-639,9733,-2429,31
2,101,1757714282942,1757714283227,-600,9731,-2385,31
2,102,1757714283109,1757714283376,-616,9707,-2442,31
2,103,1757714283275,1757714283628,-635,9721,-2379,31
2,104,1757714283442,1757714283727,-614,9726,-2370,31
2,105,1757714283609,1757714283886,-640,9750,-2363,31
2,106,1757714283775,1757714284136,-640,9750,-2363,31
2,107,1757714283942,1757714284235,-635,9752,-2389,31
2,108,1757714284109,1757714284384,-627,9731,-2403,31
2,109,1757714284275,1757714284632,-629,9730,-2366,31
2,110,1757714284442,1757714284789,-618,9735,-2421,31
2,111,1757714284609,1757714284836,-610,9760,-2368,31
2,112,1757714284775,1757714284836,-610,9760,-2368,31
2,113,1757714284942,1757714285252,-628,9747,-2429,31
2,114,1757714285109,1757714285401,-619,9743,-2421,31
2,115,1757714285275,1757714285611,-627,9734,-2397,31
2,116,1757714285442,1757714285761,-590,9732,-2363,31
2,117,1757714285609,1757714285961,-622,9733,-2440,31
2,117,1757714285609,1757714285961,-622,9733,-2440,31
2,118,1757714285775,1757714286011,-602,9716,-2411,31
2,120,1757714286109,1757714286423,-614,9740,-2392,31
2,120,1757714286109,1757714286423,-614,9740,-2392,31
2,121,1757714286275,1757714286571,-621,9742,-2418,31
2,122,1757714286442,1757714286820,-618,9728,-2397,31
2,124,1757714286775,1757714286970,-612,9720,-2388,31
2,125,1757714286942,1757714287283,-596,9744,-2381,31
2,126,1757714287109,1757714287431,-623,9714,-2350,31
2,127,1757714287275,1757714287579,-595,9750,-2367,31
2,128,1757714287442,1757714287837,-618,9768,-2332,31
2,129,1757714287609,1757714287987,-631,9752,-2393,31
2,130,1757714287775,1757714288087,-614,9735,-2415,31
2,131,1757714287942,1757714288300,-619,9750,-2391,31
2,132,1757714288109,1757714288449,-623,9749,-2354,31
2,132,1757714288109,1757714288449,-623,9749,-2354,31
2,133,1757714288275,1757714288607,-612,9769,-2408,31
2,134,1757714288442,1757714288859,-623,9753,-2391,31
2,135,1757714288609,1757714288958,-622,9762,-2499,31
2,137,1757714288942,1757714289326,-638,9748,-2411,31
2,138,1757714289109,1757714289474,-624,9752,-2430,31
2,139,1757714289275,1757714289623,-659,9742,-2404,31
2,140,1757714289442,1757714289875,-652,9764,-2405,31
2,141,1757714289609,1757714289974,-644,9763,-2418,31
2,142,1757714289775,1757714290133,-641,9757,-2414,31
2,143,1757714289942,1757714290333,-628,9754,-2416,31
2,144,1757714290109,1757714290483,-654,9764,-2408,31
2,145,1757714290275,1757714290683,-651,9740,-2385,31
2,145,1757714290275,1757714290683,-651,9740,-2385,31
2,147,1757714290609,1757714291037,-617,9733,-2441,31
2,147,1757714290609,1757714291037,-617,9733,-2441,31
2,148,1757714290775,1757714291186,-633,9743,-2390,31
2,149,1757714290942,1757714291353,-635,9741,-2355,31
2,150,1757714291109,1757714291502,-629,9756,-2345,31
2,151,1757714291275,1757714291712,-628,9748,-2393,31
2,152,1757714291442,1757714291861,-645,9740,-2398,31
2,153,1757714291609,1757714292057,-630,9769,-2382,31
2,154,1757714291775,1757714292205,-627,9738,-2404,31
2,155,1757714291942,1757714292368,-615,9751,-2375,31
2,156,1757714292109,1757714292526,-612,9763,-2420,31
2,157,1757714292275,1757714292674,-645,9754,-2356,31
2,158,1757714292442,1757714292823,-637,9743,-2382,31
2,159,1757714292609,1757714293073,-636,9758,-2383,31
2,161,1757714292942,1757714293385,-608,9764,-2416,31
2,162,1757714293109,1757714293535,-594,9757,-2425,31
2,163,1757714293275,1757714293735,-613,9754,-2406,31
2,164,1757714293442,1757714293883,-618,9771,-2394,31
2,165,1757714293609,1757714294090,-612,9759,-2429,31
2,166,1757714293775,1757714294189,-621,9731,-2341,31
2,167,1757714293942,1757714294404,-643,9741,-2405,31
2,168,1757714294109,1757714294555,-636,9753,-2424,31
2,169,1757714294275,1757714294765,-621,9729,-2378,31
2,170,1757714294442,1757714294912,-642,9738,-2374,31
2,171,1757714294609,1757714295060,-621,9745,-2349,31
2,172,1757714294775,1757714295208,-620,9764,-2381,31
2,172,1757714294775,1757714295208,-620,9764,-2381,31
2,173,1757714294942,1757714295419,-635,9759,-2320,31
2,174,1757714295109,1757714295579,-621,9758,-2318,31
2,175,1757714295275,1757714295728,-634,9760,-2376,31
2,176,1757714295442,1757714295928,-640,9752,-2419,31
2,177,1757714295609,1757714296079,-641,9741,-2418,31
2,178,1757714295775,1757714296237,-643,9747,-2329,31
2,179,1757714295942,1757714296337,-613,9751,-2359,31
2,180,1757714296109,1757714296337,-613,9751,-2359,31
2,181,1757714296275,1757714296337,-613,9751,-2359,31
2,182,1757714296442,1757714296945,-605,9752,-2361,31
2,183,1757714296609,1757714297102,-635,9753,-2358,31
2,184,1757714296775,1757714297250,-625,9742,-2387,31
2,185,1757714296942,1757714297454,-627,9746,-2384,31
2,186,1757714297109,1757714297602,-611,9724,-2376,31
2,187,1757714297275,1757714297750,-627,9744,-2449,31
2,188,1757714297442,1757714297907,-618,9753,-2356,31
2,188,1757714297442,1757714297907,-618,9753,-2356,31
2,190,1757714297775,1757714298205,-643,9749,-2403,31
2,191,1757714297942,1757714298455,-633,9769,-2389,31
2,191,1757714297942,1757714298455,-633,9769,-2389,31
2,192,1757714298109,1757714298455,-633,9769,-2389,31
2,193,1757714298275,1757714298455,-633,9769,-2389,31
2,195,1757714298609,1757714299132,-648,9733,-2348,31
2,195,1757714298609,1757714299132,-648,9733,-2348,31
2,197,1757714298942,1757714299439,-635,9755,-2342,31
2,198,1757714299109,1757714299439,-635,9755,-2342,31
2,199,1757714299275,1757714299439,-635,9755,-2342,31
2,200,1757714299442,1757714299946,-635,9755,-2342,31
2,201,1757714299609,1757714300152,-633,9753,-2282,31
2,202,1757714299775,1757714300300,-621,9746,-2285,31
2,203,1757714299942,1757714300449,-633,9736,-2341,31
2,204,1757714300109,1757714300449,-633,9736,-2341,31
2,206,1757714300442,1757714300972,-633,9736,-2341,31
2,206,1757714300442,1757714300972,-633,9736,-2341,31
2,208,1757714300775,1757714301271,-640,9750,-2428,31
2,209,1757714300942,1757714301420,-623,9726,-2385,31
2,209,1757714300942,1757714301420,-623,9726,-2385,31
2,210,1757714301109,1757714301580,-644,9750,-2416,31
2,211,1757714301275,1757714301580,-644,9750,-2416,31
2,212,1757714301442,1757714301981,-644,9750,-2416,31
2,214,1757714301775,1757714302281,-632,9731,-2348,31
2,215,1757714301942,1757714302439,-635,9731,-2347,31
2,216,1757714302109,1757714302589,-633,9752,-2348,31
2,217,1757714302275,1757714302589,-633,9752,-2348,31
2,218,1757714302442,1757714302996,-633,9752,-2348,31
2,218,1757714302442,1757714302996,-633,9752,-2348,31
2,219,1757714302609,1757714303195,-627,9738,-2344,31
2,220,1757714302775,1757714303304,-646,9745,-2396,31
