record_version,record_number,record_timestamp,aux_timestamp,ir_object_temp_cC,ir_ambient_temp_cC,aux_flags
2,119,1757714104893,1757714105287,0,-1,31
2,120,1757714105060,1757714105488,0,-1,31
2,121,1757714105226,1757714105588,0,-1,31
2,122,1757714105393,1757714105788,0,-1,31
2,123,1757714105560,1757714105938,0,-1,31
2,124,1757714105726,1757714106147,0,-1,31
2,125,1757714105893,1757714106293,0,-1,31
2,126,1757714106060,1757714106442,0,-1,31
2,127,1757714106226,1757714106642,0,-1,31
2,128,1757714106393,1757714106800,0,-1,31
2,129,1757714106560,1757714106996,0,-1,31
2,130,1757714106726,1757714107144,0,-1,31
2,131,1757714106893,1757714107309,0,-1,31
2,132,1757714107060,1757714107457,0,-1,31
2,134,1757714107393,1757714107816,0,-1,31
2,134,1757714107393,1757714107816,0,-1,31
2,135,1757714107560,1757714107966,0,-1,31
2,136,1757714107726,1757714108166,0,-1,31
2,137,1757714107893,1757714108275,0,-1,31
2,138,1757714108060,1757714108275,0,-1,31
2,139,1757714108226,1757714108275,0,-1,31
2,140,1757714108393,1757714108836,0,-1,31
2,141,1757714108560,1757714108986,0,-1,31
2,142,1757714108726,1757714109198,0,-1,31
2,144,1757714109060,1757714109346,0,-1,31
2,144,1757714109060,1757714109346,0,-1,31
2,145,1757714109226,1757714109346,0,-1,31
2,146,1757714109393,1757714109852,0,-1,31
2,147,1757714109560,1757714110012,0,-1,31
2,148,1757714109726,1757714110161,0,-1,31
2,149,1757714109893,1757714110260,0,-1,31
2,150,1757714110060,1757714110260,0,-1,31
2,151,1757714110226,1757714110260,0,-1,31
2,152,1757714110393,1757714110879,0,-1,31
2,153,1757714110560,1757714111026,0,-1,31
2,154,1757714110726,1757714111174,0,-1,31
2,155,1757714110893,1757714111322,0,-1,31
2,156,1757714111060,1757714111322,0,-1,31
2,157,1757714111226,1757714111322,0,-1,31
2,158,1757714111393,1757714111895,0,-1,31
2,159,1757714111560,1757714112043,0,-1,31
2,160,1757714111726,1757714112202,0,-1,31
2,161,1757714111893,1757714112351,0,-1,31
2,162,1757714112060,1757714112351,0,-1,31
2,163,1757714112226,1757714112351,0,-1,31
2,164,1757714112393,1757714112904,0,-1,31
2,165,1757714112560,1757714113011,0,-1,31
2,166,1757714112726,1757714113160,0,-1,31
2,167,1757714112893,1757714113412,0,-1,31
2,168,1757714113060,1757714113511,0,-1,31
2,169,1757714113226,1757714113511,0,-1,31
2,170,1757714113393,1757714113927,0,-1,31
2,171,1757714113560,1757714114076,0,-1,31
2,172,1757714113726,1757714114224,0,-1,31
2,173,1757714113893,1757714114372,0,-1,31
2,174,1757714114060,1757714114529,0,-1,31
2,175,1757714114226,1757714114529,0,-1,31
2,176,1757714114393,1757714114936,0,-1,31
2,177,1757714114560,1757714115035,0,-1,31
2,178,1757714114726,1757714115194,0,-1,31
2,179,1757714114893,1757714115446,0,-1,31
2,180,1757714115060,1757714115545,0,-1,31
2,181,1757714115226,1757714115545,0,-1,31
2,183,1757714115560,1757714116063,0,-1,31
2,183,1757714115560,1757714116063,0,-1,31
2,184,1757714115726,1757714116211,0,-1,31
2,185,1757714115893,1757714116359,0,-1,31
2,186,1757714116060,1757714116507,0,-1,31
