record_version,record_number,record_timestamp,sample_index,ax,ay,az,gx,gy,gz,aux_flags,record_timestamp_iso,record_delta_ms
2,6,1761745646996,2,862,213,463,-210,-210,630,31,2025-10-29T13:47:26.996000+00:00,167
2,6,1761745646996,3,862,213,462,-210,-210,630,31,2025-10-29T13:47:26.996000+00:00,167
2,6,1761745646996,4,862,213,462,-210,-210,630,31,2025-10-29T13:47:26.996000+00:00,167
2,6,1761745646996,5,862,213,462,-210,-210,560,31,2025-10-29T13:47:26.996000+00:00,167
2,6,1761745646996,6,862,213,462,-210,-210,630,31,2025-10-29T13:47:26.996000+00:00,167
2,6,1761745646996,7,862,213,462,-140,-140,560,31,2025-10-29T13:47:26.996000+00:00,167
2,6,1761745646996,8,862,213,463,-140,-140,630,31,2025-10-29T13:47:26.996000+00:00,167
2,6,1761745646996,9,862,213,463,-140,-140,630,31,2025-10-29T13:47:26.996000+00:00,167
2,7,1761745647162,0,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.162000+00:00,166
2,7,1761745647162,1,862,213,463,-140,-140,630,31,2025-10-29T13:47:27.162000+00:00,166
2,7,1761745647162,2,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.162000+00:00,166
2,7,1761745647162,3,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.162000+00:00,166
2,7,1761745647162,4,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.162000+00:00,166
2,7,1761745647162,5,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.162000+00:00,166
2,7,1761745647162,6,862,213,463,-140,-140,630,31,2025-10-29T13:47:27.162000+00:00,166
2,7,1761745647162,7,862,213,463,-210,-210,630,31,2025-10-29T13:47:27.162000+00:00,166
2,7,1761745647162,8,862,213,463,-210,-210,630,31,2025-10-29T13:47:27.162000+00:00,166
2,7,1761745647162,9,862,213,462,-140,-140,560,31,2025-10-29T13:47:27.162000+00:00,166
2,8,1761745647329,0,862,213,462,-140,-140,630,31,2025-10-29T13:47:27.329000+00:00,167
2,8,1761745647329,1,862,213,462,-140,-140,560,31,2025-10-29T13:47:27.329000+00:00,167
2,8,1761745647329,2,862,213,462,-210,-210,560,31,2025-10-29T13:47:27.329000+00:00,167
2,8,1761745647329,3,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.329000+00:00,167
2,8,1761745647329,4,862,213,463,-210,-210,630,31,2025-10-29T13:47:27.329000+00:00,167
2,8,1761745647329,5,862,213,463,-210,-210,630,31,2025-10-29T13:47:27.329000+00:00,167
2,8,1761745647329,6,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.329000+00:00,167
2,8,1761745647329,7,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.329000+00:00,167
2,8,1761745647329,8,862,213,462,-210,-210,560,31,2025-10-29T13:47:27.329000+00:00,167
2,8,1761745647329,9,862,213,463,-210,-210,630,31,2025-10-29T13:47:27.329000+00:00,167
2,9,1761745647496,0,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.496000+00:00,167
2,9,1761745647496,1,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.496000+00:00,167
2,9,1761745647496,2,862,213,463,-140,-140,630,31,2025-10-29T13:47:27.496000+00:00,167
2,9,1761745647496,3,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.496000+00:00,167
2,9,1761745647496,4,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.496000+00:00,167
2,9,1761745647496,5,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.496000+00:00,167
2,9,1761745647496,6,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.496000+00:00,167
2,9,1761745647496,7,862,213,463,-210,-210,630,31,2025-10-29T13:47:27.496000+00:00,167
2,9,1761745647496,8,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.496000+00:00,167
2,9,1761745647496,9,862,213,463,-140,-140,630,31,2025-10-29T13:47:27.496000+00:00,167
2,10,1761745647662,0,862,213,463,-210,-210,630,31,2025-10-29T13:47:27.662000+00:00,166
2,10,1761745647662,1,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.662000+00:00,166
2,10,1761745647662,2,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.662000+00:00,166
2,10,1761745647662,3,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.662000+00:00,166
2,10,1761745647662,4,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.662000+00:00,166
2,10,1761745647662,5,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.662000+00:00,166
2,10,1761745647662,6,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.662000+00:00,166
2,10,1761745647662,7,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.662000+00:00,166
2,10,1761745647662,8,862,213,463,-210,-210,630,31,2025-10-29T13:47:27.662000+00:00,166
2,10,1761745647662,9,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.662000+00:00,166
2,11,1761745647829,0,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.829000+00:00,167
2,11,1761745647829,1,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.829000+00:00,167
2,11,1761745647829,2,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.829000+00:00,167
2,11,1761745647829,3,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.829000+00:00,167
2,11,1761745647829,4,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.829000+00:00,167
2,11,1761745647829,5,862,213,463,-140,-140,630,31,2025-10-29T13:47:27.829000+00:00,167
2,11,1761745647829,6,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.829000+00:00,167
2,11,1761745647829,7,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.829000+00:00,167
2,11,1761745647829,8,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.829000+00:00,167
2,11,1761745647829,9,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.829000+00:00,167
2,12,1761745647996,0,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.996000+00:00,167
2,12,1761745647996,1,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.996000+00:00,167
2,12,1761745647996,2,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.996000+00:00,167
2,12,1761745647996,3,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.996000+00:00,167
2,12,1761745647996,4,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.996000+00:00,167
2,12,1761745647996,5,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.996000+00:00,167
2,12,1761745647996,6,862,213,463,-140,-140,560,31,2025-10-29T13:47:27.996000+00:00,167
2,12,1761745647996,7,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.996000+00:00,167
2,12,1761745647996,8,862,213,463,-210,-210,560,31,2025-10-29T13:47:27.996000+00:00,167
2,12,1761745647996,9,862,214,463,-210,-210,560,31,2025-10-29T13:47:27.996000+00:00,167
2,13,1761745648162,0,862,214,463,-210,-210,560,31,2025-10-29T13:47:28.162000+00:00,166
2,13,1761745648162,1,862,214,463,-210,-210,560,31,2025-10-29T13:47:28.162000+00:00,166
2,13,1761745648162,2,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.162000+00:00,166
2,13,1761745648162,3,862,213,463,-140,-140,560,31,2025-10-29T13:47:28.162000+00:00,166
2,13,1761745648162,4,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.162000+00:00,166
2,13,1761745648162,5,862,213,463,-210,-210,560,31,2025-10-29T13:47:28.162000+00:00,166
